vertex,group_id,degree,beteweeness,from,to
Technology,4,278,4841.307276,Green,Oil
Culture,0,261,3594.70514,Surgery,Prosthetics
Science,4,254,3425.722276,Surgery,Global issues
Global issues,2,249,3205.827028,Photography,Oil
TEDx,0,245,3020.001743,Global,Health
Business,2,210,1976.651863,Foreign Policy,Iran
Design,4,208,1767.636639,TEDx,Surgery
Entertainment,1,195,1505.5851,Medical research,Surgery
Arts,1,175,1158.643555,Shopping,Creativity
Politics,2,165,931.18749,Product design,Surgery
Education,3,167,862.062594,Data,Population
Health,4,137,850.631726,Health,Global
Biology,4,139,648.794645,Technology,Mobility
Creativity,1,134,616.566913,Iran,Computers
Art,1,146,598.778735,Innovation,Prediction
Children,3,127,541.628887,Population,Culture
Economics,2,132,503.936222,Iran,Middle East
Storytelling,1,136,488.143299,TEDx,Population
Music,1,123,481.282446,Shopping,Robots
Social change,2,133,474.157058,Politics,Iran
Collaboration,3,126,470.050141,Engineering,Surgery
Brain,0,118,435.142807,Student,TEDx
History,1,132,412.189813,Microsoft,Visualizations
Innovation,4,114,406.587494,Surgery,Engineering
TED Fellows,4,126,405.607549,Prediction,Science
Activism,2,127,399.490323,TEDx,Obesity
Medicine,4,118,369.218025,Environment,Oil
Humor,1,115,355.525673,Microsoft,Map
Environment,3,113,355.384794,Oil,Photography
Evolution,4,103,333.952631,Science,Novel
Animals,4,110,333.467526,Policy,Women
Photography,1,106,327.2241,Oil,Sustainability
Invention,4,122,314.54395,Energy,Oil
Life,4,104,313.872967,Science,Iran
Psychology,0,112,311.262259,Science,Student
Exploration,4,95,292.066611,Wikipedia,Cooperation
Future,3,112,288.924379,Skateboarding,Open-source
Cities,3,110,287.995171,Iran,Global issues
War,2,112,282.683668,Prosthetics,Surgery
Africa,2,114,277.235178,Global issues,Policy
Communication,0,107,264.297832,Iran,Foreign Policy
Happiness,0,96,264.075155,Student,Parenting
Women,2,96,248.57007,Surgery,Design
Engineering,4,100,242.483713,Disaster relief,Oil
Humanity,1,92,234.96591,Iran,Nuclear energy
Computers,4,97,222.648671,Surgery,Invention
Performance,1,83,216.59535,Math,Student
