title,Root_topic
You are the future of philanthropy,Activism
World-class health care,Activism
Why I must come out,Activism
Why I am an HIV/AIDS activist,Activism
Why giving away our wealth has been the most satisfying thing we've done,Activism
What's so funny about mental illness?,Activism
What the gay rights movement learned from the civil rights movement,Activism
What security means to me,Activism
Want to be an activist? Start with your toys,Activism
Walk the earth ... my 17-year vow of silence,Activism
The tragedy of orphanages,Activism
The silent drama of photography,Activism
The shocking move to criminalize nonviolent protest,Activism
The opportunity of adversity,Activism
"The good news on poverty (Yes, there's good news)",Activism
The fight to end rare-animal trafficking in Brazil,Activism
The face of AIDS in Africa,Activism
The case for anonymity online,Activism
"The ""bottom billion""",Activism
Texting that saves lives,Activism
"Suddenly, my body",Activism
Reporting crisis via texting,Activism
"Rebuilding a neighborhood with beauty, dignity, hope",Activism
Photos of endangered cultures,Activism
"One Laptop per Child, two years on",Activism
One day of peace,Activism
New thinking on the climate crisis,Activism
My wish: Use art to turn the world inside out,Activism
My wish: Three actions for Africa,Activism
My wish: Protect our oceans,Activism
My wish: Once Upon a School,Activism
My wish: Let my photographs bear witness,Activism
My wish: A call for open-source architecture,Activism
My mind-shifting Everest swim,Activism
My 12 pairs of legs,Activism
Looking past limits,Activism
"I¡¯m not your inspiration, thank you very much",Activism
"How we rescued the ""dancing"" bears""",Activism
How to topple a dictator,Activism
"How I brought a river, and my city, back to life",Activism
How I became an activist,Activism
How cults rewire the brain,Activism
Hackers: the Internet's immune system,Activism
Greening the ghetto,Activism
Find your voice against gender violence,Activism
Fighting with nonviolence,Activism
Fight injustice with raw video,Activism
Conserving the canopy,Activism
Coding a better government,Activism
Building a park in the sky,Activism
Between music and medicine,Activism
An escape from poverty,Activism
Addicted to risk,Activism
A realistic vision for world peace,Activism
A hospital tour in Nigeria,Activism
A hero of the Congo forest,Activism
A girl who demanded school,Activism
A father-daughter dance ... in prison,Activism
A call to reinvent liberal arts education,Activism
"""Women of Hope""",Activism
"""Thula Mama""",Activism
Why stay in Chernobyl? Because it's home.,Adventure
Why I'm rowing across the Pacific,Adventure
Why I love vultures,Adventure
What I learned from going blind in space,Adventure
The power of time off,Adventure
The astonishing hidden world of the deep ocean,Adventure
Photographs of secret sites,Adventure
My underwater robot,Adventure
My solar-powered adventure,Adventure
My mind-shifting Everest swim,Adventure
Medical miracle on Everest,Adventure
Life in Biosphere 2,Adventure
I'm going to the moon. Who's with me?,Adventure
How I swam the North Pole,Adventure
How global crime networks work,Adventure
Fly with the Jetman,Adventure
Extreme wingsuit flying,Adventure
Escaping the Khmer Rouge,Adventure
Before Avatar ... a curious boy,Adventure
9 life lessons from rock climbing,Adventure
The secret of the bat genome,Advertising
The post-crisis consumer,Advertising
Social media and the end of gender,Advertising
Perspective is everything,Advertising
Life lessons from an ad man,Advertising
Bitcoin. Sweat. Tide. Meet the future of branded currency.,Advertising
Beware neuro-bunk,Advertising
You don't need an app for that,Africa
World-class health care,Africa
Why invest in Africa,Africa
Why I am an HIV/AIDS activist,Africa
What separates us from chimpanzees?,Africa
What I learned from Nelson Mandela,Africa
Turning dunes into architecture,Africa
The wonder of Zulu wire art,Africa
The thinking behind 50x15,Africa
The story of Ezra,Africa
The search for humanity's roots,Africa
The path to ending ethnic conflicts,Africa
The link between unemployment and terrorism,Africa
The jungle search for viruses,Africa
The good news of the decade?,Africa
The fractals at the heart of African designs,Africa
The face of AIDS in Africa,Africa
The danger of a single story,Africa
The best stats you've ever seen,Africa
"The ""bottom billion""",Africa
Telling stories from Africa,Africa
Selling condoms in the Congo,Africa
Reporting crisis via texting,Africa
On humanity,Africa
New insights on poverty,Africa
My wish: Three actions for Africa,Africa
My wish: Rebuilding Rwanda,Africa
My wish: Find the next Einstein in Africa,Africa
Mothers helping mothers fight HIV,Africa
"Meet BRCK, Internet access built for Africa",Africa
Life lessons from big cats,Africa
Is China the new idol for emerging economies?,Africa
Invest in Africa's own solutions,Africa
How to educate leaders? Liberal arts,Africa
How to build with clay... and community,Africa
How poachers became caretakers,Africa
How I taught rats to sniff out land mines,Africa
"How I named, shamed and jailed",Africa
How I harnessed the wind,Africa
How I built a windmill,Africa
How I became an activist,Africa
How humans and animals can live together,Africa
HIV -- new facts and stunning data visuals,Africa
Global priorities bigger than climate change,Africa
Flip your thinking on AIDS in Africa,Africa
Filming democracy in Ghana,Africa
Digging up dinosaurs,Africa
Demand a fair trade cell phone,Africa
"Crop insurance, an idea worth seeding",Africa
Architecture at home in its community,Africa
Aid for Africa? No thanks.,Africa
Africa's next boom,Africa
Africa's cheetahs versus hippos,Africa
"A tour of Nollywood, Nigeria's booming film industry",Africa
A third way to think about aid,Africa
A parable for Kenya,Africa
A hero of the Congo forest,Africa
A girl who demanded school,Africa
A family tree for humanity,Africa
A dig for humanity's origins,Africa
A bath without water,Africa
"""Thula Mama""",Africa
Your genes are not your fate,Aging
Why 30 is not the new 20,Aging
The coming neurological epidemic,Aging
Prepare for a good end of life,Aging
Older people are happier,Aging
"Never, ever give up",Aging
Life's third act,Aging
How to live passionately?no matter your age,Aging
How state budgets are breaking US schools,Aging
How societies can grow old better,Aging
How I'm preparing to get Alzheimer's,Aging
How Benjamin Button got his face,Aging
Experiments that hint of longer lives,Aging
An unexpected place of healing,Aging
A roadmap to end aging,Aging
Why not eat insects?,Agriculture
What's wrong with our food system,Agriculture
The other inconvenient truth,Agriculture
"One seed at a time, protecting the future of food",Agriculture
Natural pest control ... using bugs!,Agriculture
My invention that made peace with lions,Agriculture
