from,from_module,to,to_module,Type,Id,Label
n401,8,nature,8,Directed,3,
n289,0,inequality,0,Directed,4,
n286,3,women in business,3,Directed,5,
n245,0,gender,0,Directed,6,
n1211,11,science,11,Directed,7,
science,11,n888,7,Directed,1092,
science,11,n872,7,Directed,1141,
science,11,n860,11,Directed,1180,
science,11,n858,7,Directed,1188,
science,11,n855,7,Directed,1198,
science,11,n848,3,Directed,1221,
science,11,n846,11,Directed,1227,
science,11,n284,11,Directed,3005,
science,11,n839,7,Directed,1247,
science,11,n836,11,Directed,1258,
science,11,n833,7,Directed,1268,
science,11,n829,7,Directed,1280,
science,11,n826,6,Directed,1287,
science,11,n813,6,Directed,1333,
science,11,n789,7,Directed,1425,
science,11,n788,11,Directed,1428,
science,11,n786,7,Directed,1433,
science,11,n780,11,Directed,1452,
science,11,n779,6,Directed,1455,
science,11,n772,6,Directed,1476,
science,11,n767,6,Directed,1492,
science,11,n477,7,Directed,1545,
science,11,n753,7,Directed,1543,
science,11,n750,7,Directed,1554,
science,11,n742,7,Directed,1582,
science,11,n739,7,Directed,1589,
science,11,n727,6,Directed,1628,
science,11,n716,7,Directed,1660,
science,11,n714,7,Directed,1666,
science,11,n712,7,Directed,1672,
science,11,n710,7,Directed,1680,
science,11,n680,6,Directed,1775,
science,11,n679,11,Directed,1779,
science,11,n672,11,Directed,1800,
science,11,n669,6,Directed,1808,
science,11,n668,6,Directed,1812,
science,11,n667,4,Directed,1816,
science,11,n662,6,Directed,1831,
science,11,n659,12,Directed,1837,
science,11,n657,7,Directed,1843,
science,11,n641,7,Directed,1894,
science,11,n405,7,Directed,1912,
science,11,n628,7,Directed,1959,
science,11,n587,8,Directed,2097,
science,11,n542,11,Directed,2259,
science,11,n396,11,Directed,2699,
science,11,n392,11,Directed,2703,
science,11,n539,6,Directed,2270,
science,11,n536,11,Directed,2300,
science,11,n482,11,Directed,2305,
science,11,n461,11,Directed,2308,
science,11,n533,6,Directed,2322,
science,11,n532,6,Directed,2326,
science,11,n528,6,Directed,2339,
science,11,n521,11,Directed,2359,
science,11,n505,11,Directed,2421,
science,11,n499,11,Directed,2440,
science,11,n490,6,Directed,2463,
science,11,n445,11,Directed,2565,
science,11,n435,11,Directed,2592,
science,11,n434,11,Directed,2595,
science,11,n426,11,Directed,2622,
science,11,n424,11,Directed,2627,
science,11,n420,11,Directed,2634,
science,11,n418,11,Directed,2642,
science,11,n414,11,Directed,2655,
