Id,Label,name,support,confidence,lift,Modularity Class,In-Degree,Out-Degree,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Clustering Coefficient,Reciprocated Vertex Pair Ratio,Dynamic Filter
n401,.,r190,0.0040253,0.875,33.8139,8,1,1,2410,0.000112,0,1.019323,0,0,
n133,nature,211,,,,8,1,0,0,9.90E-05,0,0.583212,0,0,
n289,.,r78,0.00287522,0.625,57.2039,0,1,1,6,0.142857,0,1.229729,0,0,
n102,inequality,153,,,,0,1,0,0,0.1,0,0.672635,0,0,
n286,.,r75,0.00230017,0.8,57.9667,3,2,1,3114.96181,0.000191,0.000393,0.749881,0,0,
n207,women.in.business,329,,,,3,1,0,0,0.000155,4.00E-06,0.362466,0,0,
n245,.,r34,0.00345026,0.6,94.8545,0,1,1,6,0.142857,0,1.229729,0,0,
n83,gender,128,,,,0,1,0,0,0.1,0,0.672635,0,0,
n1211,.,r1000,,,,11,1,1,2410,0.000184,7.20E-05,0.662525,0,0,
n168,science,265,,,,11,1,99,241906.6995,0.000236,0.000256,17.139722,0,0,
n96,human.origins,146,,,,11,0,1,0,0.000151,1.00E-06,0.431573,0,0,
n1210,.,r999,0.00230017,1,4.39141,7,1,1,2410,0.000187,2.30E-05,0.687148,0,0,
n189,TEDx,302,,,,7,4,22,39733.04249,0.000241,8.20E-05,4.937416,0,0,
n57,disability,92,,,,7,0,1,0,0.000152,0,0.442038,0,0,
n1209,.,r998,0.00460035,0.666667,4.42494,1,4,1,4036.952177,0.000232,0.002923,0.835262,0,0,
n55,design,89,,,,1,53,50,168405.863,0.000252,0.001305,17.301799,0,0,
n47,culture,76,,,,2,0,132,269948.2649,0.000271,0.003199,20.979144,0,0,
n32,cities,56,,,,1,13,25,25456.43789,0.000218,0.000547,6.313916,0,0,
n9,arts,19,,,,2,69,77,151096.2494,0.00023,0.004298,22.431179,0,0,
n8,art,18,,,,1,17,31,18750.87701,0.000219,0.001054,7.655288,0,0,
n1208,.,r997,0.00230017,0.8,4.44473,1,3,1,11800.28982,0.000233,0.001812,0.722994,0,0,
n186,technology,298,,,,11,0,110,310052.2613,0.000275,0.001067,17.937097,0,0,
n106,invention,160,,,,1,11,11,13828.40094,0.000195,7.90E-05,4.058392,0,0,
n66,entertainment,103,,,,2,80,66,183864.7628,0.000241,0.004,23.154856,0,0,
n1207,.,r996,0.00230017,0.8,4.44473,1,3,1,2413.908547,0.000224,0.001715,0.704669,0,0,
n1206,.,r995,0.00230017,0.8,4.44473,2,3,1,1439.589318,0.000205,0.00192,0.713776,0,0,
n98,humor,148,,,,2,1,9,668.202369,0.000178,0.000178,1.821643,0,0,
n1205,.,r994,0.00230017,0.8,4.44473,3,3,1,3007.353535,0.00022,0.000708,0.746526,0,0,
n39,computers,67,,,,3,4,7,2731.250112,0.000195,5.80E-05,2.045637,0,0,
n29,children,52,,,,3,6,15,22196.45862,0.000229,8.90E-05,3.880482,0,0,
n1204,.,r993,0.00230017,0.8,4.44473,1,3,1,752.632104,0.000198,0.000765,0.710076,0,0,
n45,creativity,74,,,,2,0,34,13694.05078,0.000208,0.000647,5.304785,0,0,
n7,architecture,17,,,,1,5,22,8623.950932,0.000222,0.000224,4.55639,0,0,
n1203,.,r992,0.00230017,0.8,4.44473,4,2,1,6891.99508,0.000229,0.001297,0.573515,0,0,
n85,global.issues,133,,,,4,67,126,421673.5262,0.000285,0.003088,31.173241,0,0,
n1202,.,r991,0.00230017,0.8,4.44473,5,2,1,3188.785662,0.000209,0.000787,0.578108,0,0,
n25,business,45,,,,5,51,49,133018.0097,0.000243,0.001274,16.692319,0,0,
n1201,.,r990,0.00230017,0.8,4.44473,1,2,1,2348.315209,0.000194,0.000435,0.606898,0,0,
n89,green,138,,,,1,4,7,5840.42016,0.000175,2.10E-05,2.208722,0,0,
n302,.,r91,0.00230017,0.5,51.1471,7,2,1,2430.225954,0.000193,0.00037,0.774278,0,0,
n203,visualizations,320,,,,7,1,1,4.824475,0.000158,9.00E-06,0.565177,0,0,
n1200,.,r989,0.00230017,0.8,4.44473,7,2,1,1541.655911,0.000195,0.000385,0.691054,0,0,
n1199,.,r988,0.00230017,0.8,4.44473,1,2,1,2233.830004,0.000217,0.000683,0.607172,0,0,
n22,book,37,,,,1,0,4,111.126265,0.00018,6.00E-05,0.827227,0,0,
n1198,.,r987,0.00230017,0.8,4.44473,1,2,1,1292.471891,0.000204,0.001591,0.59916,0,0,
n1197,.,r986,0.00230017,0.8,4.44473,1,2,1,1996.988741,0.000217,0.000677,0.600154,0,0,
n101,industrial.design,152,,,,1,0,8,1455.396084,0.000181,3.80E-05,1.588397,0,0,
n1196,.,r985,0.00230017,0.8,4.44473,1,2,1,712.942921,0.000196,0.0004,0.615219,0,0,
n194,toy,308,,,,1,1,8,732.889955,0.000177,3.80E-05,1.753795,0,0,
n1195,.,r984,0.00230017,0.8,4.44473,1,1,1,40.812894,0.000193,0.000429,0.436224,0,0,
n1194,.,r983,0.0258769,0.803571,4.46457,5,3,1,10392.20353,0.000238,0.001745,0.71319,0,0,
n1193,.,r982,0.00230017,0.666667,4.47619,5,3,1,3273.01595,0.000236,0.002181,0.707339,0,0,
n158,poverty,248,,,,5,3,15,4543.910709,0.000191,0.000204,3.02971,0,0,
n1192,.,r981,0.00230017,0.666667,4.47619,3,3,1,2926.009951,0.000225,0.001317,0.722146,0,0,
n206,women,328,,,,3,10,15,17068.17829,0.000192,0.000123,4.408824,0,0,
n1191,.,r980,0.00230017,0.666667,4.47619,5,3,1,1372.887902,0.000224,0.001379,0.709202,0,0,
n146,philanthropy,234,,,,5,3,24,4141.61458,0.000203,0.000345,4.314767,0,0,
n1,Africa,4,,,,5,7,16,11380.28167,0.0002,0.000203,3.901621,0,0,
n1190,.,r979,0.00230017,0.666667,4.47619,6,2,1,1623.716471,0.000204,0.000495,0.592251,0,0,
n91,happiness,141,,,,6,3,14,13419.70837,0.000204,6.90E-05,3.152548,0,0,
